Quote,Author
"Life is what happens when you're busy making other plans","John Lennon"
"The purpose of our lives is to be happy","Dalai Lama"
"Get busy living or get busy dying","Stephen King"
"You only live once, but if you do it right, once is enough","Mae West"
"Many of life’s failures are people who did not realize how close they were to success","Thomas Edison"
"Love the life you live. Live the life you love","Bob Marley"
"This is the worst product I have ever used","Anonymous"
"I am very happy with this service","Anonymous"
"The quality is bad and disappointing","Anonymous"
"This experience was amazing and wonderful","Anonymous"
"Not good, not bad, just average","Anonymous"
"I hate waiting so long for delivery","Anonymous"
"The support team was very helpful","Anonymous"
"Terrible experience overall","Anonymous"
"I really enjoyed using this application","Anonymous"